change_price,changePercent,vol,high,low,last
0.02,1.22,"28,324",1.72,1.72,1.66
0.01,0.79,"28,243",1.28,1.28,1.27
-,-,"27,869",1.09,1.09,1.08
-,-,"27,843",0.215,0.215,0.215
-0.1,-2.36,"27,661",4.27,4.27,4.13
-0.03,-1.82,"27,402",1.67,1.67,1.62
-0.03,-8.33,"27,400",0.36,0.36,0.33
-0.005,-50,"27,310",0.01,0.01,0.005
-0.005,-25,"27,150",0.02,0.02,0.015
0.01,1.83,"27,132",0.56,0.56,0.555
-,-,"26,930",0.04,0.04,0.035
0.01,3.64,"26,739",0.285,0.285,0.285
-,-,"26,537",0.715,0.715,0.71
0.04,4.28,"26,460",0.975,0.975,0.975
-0.01,-6.45,"26,441",0.15,0.15,0.145
-0.02,-0.5,"26,110",4.05,4.05,4
0.005,100,"25,749",0.01,0.01,0.01
-0.005,-11.11,"25,720",0.045,0.045,0.04
-0.015,-3.3,"25,561",0.45,0.45,0.44
0.04,4.65,"25,305",0.9,0.9,0.9
-,-,"25,161",0.53,0.53,0.525
0.01,3.7,"25,111",0.29,0.29,0.28
-,-,"25,098",0.02,0.02,0.015
-0.005,-1.67,"24,838",0.295,0.295,0.295
-,-,"24,801",0.18,0.18,0.18
-,-,"24,692",0.145,0.145,0.14
-,-,"24,589",0.13,0.13,0.125
0.005,1.92,"24,337",0.28,0.28,0.265
-0.005,-1.18,"24,202",0.44,0.44,0.42
0.02,0.88,"24,117",2.33,2.33,2.3
-,-,"23,903",0.145,0.145,0.14
-0.04,-0.77,"23,867",5.22,5.22,5.14
0.02,1.54,"23,677",1.34,1.34,1.32
-0.04,-3.54,"23,640",1.13,1.13,1.09
0.12,4.35,"23,522",2.9,2.9,2.88
-,-,"23,425",0.025,0.025,0.025
-0.005,-0.87,"23,335",0.58,0.58,0.57
-,-,"23,231",0.015,0.015,0.015
0.005,0.68,"23,164",0.745,0.745,0.74
-,-,"23,134",0.86,0.86,0.855
0.005,1.56,"22,879",0.345,0.345,0.325
0.005,33.33,"22,688",0.02,0.02,0.02
-,-,"22,681",0.125,0.125,0.125
-0.005,-1.89,"22,660",0.265,0.265,0.26
-,-,"22,392",0.21,0.21,0.205
-0.015,-5.17,"22,358",0.29,0.29,0.275
-,-,"22,334",0.115,0.115,0.11
-0.005,-0.83,"22,250",0.6,0.6,0.595
-,-,"22,215",0.225,0.225,0.225
0.005,6.67,"22,087",0.08,0.08,0.08
0.04,2.07,"21,885",1.99,1.99,1.97
-,-,"21,748",0.27,0.27,0.265
-0.01,-14.29,"21,710",0.07,0.07,0.06
-0.01,-2.25,"21,444",0.445,0.445,0.435
0.05,3.79,"21,384",1.37,1.37,1.37
-,-,"21,098",0.125,0.125,0.115
-0.02,-1.79,"21,083",1.13,1.13,1.1
-,-,"20,876",0.045,0.045,0.045
0.03,3.51,"20,768",0.89,0.89,0.885
0.02,6.06,"20,653",0.355,0.355,0.35
0.14,5.51,"20,405",2.85,2.85,2.68
0.025,5.38,"20,323",0.59,0.59,0.49
0.08,1.16,"20,300",7,7,6.95
-,-,"20,260",0.22,0.22,0.2
-,-,"20,105",0.24,0.24,0.24
-0.01,-4.08,"20,008",0.245,0.245,0.235
0.01,0.62,"19,823",1.65,1.65,1.63
-0.01,-0.91,"19,607",1.1,1.1,1.09
-,-,"19,585",0.19,0.19,0.19
-0.04,-0.94,"19,486",4.25,4.25,4.2
-,-,"19,448",0.155,0.155,0.15
-0.01,-9.09,"19,200",0.115,0.115,0.1
-0.015,-3.06,"19,135",0.495,0.495,0.475
-0.01,-0.12,"19,089",8.1,8.1,8.08
-,-,"18,970",0.03,0.03,0.025
0.01,0.16,"18,769",6.15,6.15,6.1
-,-,"18,733",0.5,0.5,0.49
0.005,1.23,"18,720",0.41,0.41,0.41
0.01,3.77,"18,560",0.275,0.275,0.275
0.09,1.43,"18,527",6.43,6.43,6.4
-,-,"18,398",0.11,0.11,0.105
0.005,14.29,"18,291",0.04,0.04,0.04
-,-,"18,277",0.48,0.48,0.475
-,-,"18,189",0.085,0.085,0.08
-0.01,-1.98,"18,057",0.515,0.515,0.495
-,-,"18,027",1.36,1.36,1.34
-,-,"17,836",1.94,1.94,1.9
-,-,"17,730",0.155,0.155,0.155
-,-,"17,615",1.42,1.42,1.41
0.06,5.22,"17,596",1.22,1.22,1.21
0.01,0.1,"17,422",9.97,9.97,9.94
0.01,1.44,"17,235",0.715,0.715,0.705
-,-,"17,028",0.025,0.025,0.025
-0.015,-18.75,"17,000",0.07,0.07,0.065
0.025,6.49,"16,992",0.415,0.415,0.41
0.005,7.69,"16,976",0.07,0.07,0.07
-,-,"16,938",0.665,0.665,0.66
0.005,7.69,"16,788",0.07,0.07,0.07
-,-,"16,749",0.07,0.07,0.065
0.02,1.35,"16,648",1.5,1.5,1.5
-,-,"16,566",0.095,0.095,0.09
-0.01,-6.9,"16,460",0.145,0.145,0.135
-0.01,-0.83,"16,446",1.21,1.21,1.19
-0.005,-0.85,"16,424",0.59,0.59,0.585
-,-,"16,400",0.01,0.01,0.01
0.005,7.69,"16,194",0.075,0.075,0.07
-,-,"16,160",0.34,0.34,0.33
0.01,0.32,"16,136",3.22,3.22,3.18
-,-,"16,033",0.38,0.38,0.37
-,-,"16,000",0.02,0.02,0.015
0.005,9.09,"15,920",0.06,0.06,0.06
0.05,1.33,"15,854",3.83,3.83,3.8
-,-,"15,841",0.07,0.07,0.07
0.015,2.17,"15,753",0.71,0.71,0.705
0.01,10.53,"15,751",0.105,0.105,0.105
-0.005,-1.43,"15,714",0.355,0.355,0.345
-0.045,-8.65,"15,555",0.5,0.5,0.475
-,-,"15,515",0.035,0.035,0.03
-0.005,-7.69,"15,467",0.065,0.065,0.06
-,-,"15,333",0.03,0.03,0.03
-,-,"15,278",0.76,0.76,0.75
-0.01,-2.78,"15,215",0.36,0.36,0.35
-0.01,-2.6,"15,149",0.39,0.39,0.375
-,-,"15,124",0.58,0.58,0.56
-0.01,-0.73,"15,113",1.38,1.38,1.36
-,-,"15,103",0.1,0.1,0.095
-,-,"15,092",0.02,0.02,0.015
-,-,"15,033",0.15,0.15,0.15
